oath-toolkit 2.6.7-1
ocl-icd 2.3.1-1
openal 1.21.1-1
opencore-amr 0.1.5-5
openexr 3.1.1-1
openjpeg2 2.4.0-1
openmpi 4.1.1-2
openssh 8.7p1-2
openssl 1.1.1.l-1
opus 1.3.1-2
orc 0.4.32-1
ostree 2021.4-1
p11-kit 0.24.0-1
p7zip 1:17.04-3
pacman 6.0.1-2
pacman-mirrorlist 20210822-1
pacmixer 0.6.3-4
pahole 1.22-1
pam 1.5.2-1
pambase 20210605-2
pango 1:1.48.10-1
pangomm 2.46.1-2
papirus-icon-theme 20210901-1
papirus-nord 1:3.1.0-1
paru 1.8.2-1
patch 2.7.6-8
pavucontrol 1:5.0-1
pciutils 3.7.0-1
pcmanfm 1.3.2-1
pcre 8.45-1
pcre2 10.37-1
peg 0.1.18-2
perl 5.34.0-2
perl-app-cope 1.1-3
perl-class-inspector 1.36-4
perl-env-path 0.19-1
perl-error 0.17029-3
perl-exporter-tiny 1.002002-3
perl-file-sharedir 1.118-1
perl-io-stty 0.40.0-1
perl-io-tty 1.16-1
perl-list-moreutils 0.430-2
perl-list-moreutils-xs 0.430-2
perl-mailtools 2.21-5
perl-number-format 1.75-1
perl-params-util 1.102-2
perl-parse-yapp 1.21-4
perl-regexp-common 2017060201-4
perl-regexp-ipv6 0.03-1
perl-timedate 2.33-3
picom-jonaburg-git 0.1-4
pinentry 1.1.1-1
pipewire 1:0.3.37-1
pixman 0.40.0-1
pkgconf 1.8.0-1
pm2ml 2021.8-1
polkit 0.119-1
poppler 21.09.0-1
poppler-glib 21.09.0-1
popt 1.18-1
portaudio 1:19.7.0-1
potrace 1.16-2
powerpill 2020.12.15-2
procps-ng 3.3.17-1
procs 0.11.9-1
programmers-dvorak 1.2.1-1
psmisc 23.4-1
pulseaudio 15.0-1
pyalpm 0.10.6-1
pyright 1.1.170-1
python 3.9.7-1
python-appdirs 1.4.4-3
python-cachecontrol 0.12.6-3
python-cairo 1.20.1-1
python-cffi 1.14.6-1
python-chardet 4.0.0-2
python-colorama 0.4.4-3
python-configobj 5.0.6.r110.g3e2f4cc-1
python-contextlib2 0.6.0.post1-3
python-cryptography 3.4.8-2
python-distlib 0.3.2-1
python-distro 1.6.0-1
python-dnspython 1:2.1.0-1
python-evdev 1.4.0-1
python-gobject 3.40.1-1
python-html5lib 1.1-6
python-idna 3.2-1
python-lxml 4.6.3-1
python-markdown 3.3.4-1
python-more-itertools 8.10.0-1
python-msgpack 1.0.2-2
python-ordered-set 4.0.2-3
python-packaging 20.9-2
python-pep517 0.11.0-1
python-pillow 8.3.2-1
python-pip 20.3.4-1
python-ply 3.11-7
python-progress 1.5-5
python-psutil 5.8.0-1
python-pyalsa 1.1.6-6
python-pycparser 2.20-3
python-pyopenssl 20.0.1-1
python-pyparsing 2.4.7-3
python-pyxdg 0.27-1
python-requests 2.26.0-1
python-resolvelib 0.5.5-1
python-retrying 1.3.3-9
python-setuptools 1:57.4.0-2
python-six 1.16.0-1
python-toml 0.10.2-3
python-tomli 1.2.1-1
python-urllib3 1.26.6-1
python-webencodings 0.5.1-6
